FIRE_EVENT_ID,EVENT_DATE,LATITUDE,LONGITUDE,RAINFALL_1D_MM,RAINFALL_7D_MM,RAINFALL_30D_MM,RAINFALL_STATUS
OKI_FE-0001,2026-09-05,-3.116613,105.292545,0.0,2.2,16.11,SUCCESS
OKI_FE-0002,2026-09-05,-3.619607,105.718893,0.0,0.76,13.21,SUCCESS
OKI_FE-0003,2026-09-05,-3.28012,105.182101,0.0,2.31,20.28,SUCCESS
OKI_FE-0004,2026-09-05,-3.1059,105.24618,0.0,2.2,16.11,SUCCESS
OKI_FE-0005,2026-09-05,-3.53251,104.688385,0.0,2.31,20.28,SUCCESS
OKI_FE-0006,2026-09-05,-3.130811,105.3568,0.0,1.23,10.16,SUCCESS
OKI_FE-0007,2026-09-05,-3.105039,105.103077,0.0,2.2,16.11,SUCCESS
OKI_FE-0008,2026-09-05,-3.37751,105.411861,0.0,0.76,13.21,SUCCESS
OKI_FE-0009,2026-09-05,-2.901069,105.295288,0.0,2.2,16.11,SUCCESS
OKI_FE-0010,2026-09-05,-3.870105,105.258446,0.0,2.79,24.61,SUCCESS
OKI_FE-0011,2026-09-05,-3.573777,104.664612,0.0,1.3,18.56,SUCCESS
OKI_FE-0012,2026-09-05,-3.49631,105.665347,0.0,0.76,13.21,SUCCESS
OKI_FE-0013,2026-09-05,-3.291633,105.12504,0.0,2.31,20.28,SUCCESS
OKI_FE-0014,2026-09-05,-3.697981,105.514224,0.0,0.76,13.21,SUCCESS
OKI_FE-0015,2026-09-05,-3.725627,105.18321,0.0,2.31,20.28,SUCCESS
OKI_FE-0016,2026-09-05,-3.58277,104.900886,0.0,2.31,20.28,SUCCESS
OKI_FE-0017,2026-09-05,-3.342128,105.261989,0.0,2.31,20.28,SUCCESS
OKI_FE-0018,2026-09-05,-3.637282,104.660802,0.0,1.3,18.56,SUCCESS
OKI_FE-0019,2026-09-05,-3.859767,105.902279,0.0,0.68,16.08,SUCCESS
OKI_FE-0020,2026-09-05,-3.564506,105.562664,0.0,0.76,13.21,SUCCESS
OKI_FE-0021,2026-09-05,-3.232607,105.258697,0.0,2.2,16.11,SUCCESS
OKI_FE-0022,2026-09-05,-3.590864,105.73473,0.0,0.76,13.21,SUCCESS
OKI_FE-0023,2026-09-05,-3.530088,105.659125,0.0,0.76,13.21,SUCCESS
OKI_FE-0024,2026-09-05,-3.21746,105.055088,0.0,2.2,16.11,SUCCESS
OKI_FE-0025,2026-09-05,-3.651757,105.798567,0.0,0.76,13.21,SUCCESS
OKI_FE-0026,2026-09-05,-3.409177,105.55813,0.0,0.76,13.21,SUCCESS
OKI_FE-0027,2026-09-05,-3.219323,105.217917,0.0,2.2,16.11,SUCCESS
OKI_FE-0028,2026-09-05,-3.686013,105.329297,0.0,0.76,13.21,SUCCESS
OKI_FE-0029,2026-09-05,-3.199533,104.829987,0.0,2.2,16.11,SUCCESS
OKI_FE-0030,2026-09-05,-3.542735,105.73554,0.0,0.76,13.21,SUCCESS
OKI_FE-0031,2026-09-05,-3.50642,105.22136,0.0,2.31,20.28,SUCCESS
OKI_FE-0032,2026-09-05,-3.491185,105.795925,0.0,0.76,13.21,SUCCESS
OKI_FE-0033,2026-09-05,-3.441615,105.580615,0.0,0.76,13.21,SUCCESS
OKI_FE-0034,2026-09-05,-3.36429,105.28805,0.0,2.31,20.28,SUCCESS
OKI_FE-0035,2026-09-05,-2.8898,105.26984,0.0,2.2,16.11,SUCCESS
OKI_FE-0036,2026-09-05,-3.88787,105.89124,0.0,0.68,16.08,SUCCESS
OKI_FE-0037,2026-09-05,-3.71941,105.13689,0.0,2.31,20.28,SUCCESS
OKI_FE-0038,2026-09-05,-3.69993,105.31219,0.0,2.31,20.28,SUCCESS
OKI_FE-0039,2026-09-05,-3.33442,105.49289,0.0,0.76,13.21,SUCCESS
OKI_FE-0040,2026-09-05,-3.16905,105.34344,0.0,1.23,10.16,SUCCESS
OKI_FE-0041,2026-09-05,-3.86746,105.87514,0.0,0.68,16.08,SUCCESS
